TIMESTAMP,TID,TGID,STATE,USER,EXE,COMM,SYSCALL_PASSIVE,SYSCALL_ACTIVE,SC_ENTRY_TIME,SC_US_SO_FAR,SC_SEQ_NUM,ARG0,FILENAME
2024-12-28T23:55:59.375519,1389,1369,SLEEP,"root","snapd","snapd",futex,read,2024-12-28T23:55:59.373874,0,0,6027172dd778,"-"
2024-12-28T23:55:59.375519,1394,1377,SLEEP,"root","zed","agents",futex,read,2024-12-28T23:55:59.373852,0,0,5d5c7e0337e8,"-"
2024-12-28T23:55:59.375519,1395,1377,SLEEP,"root","zed","udev monitor",recvfrom,read,2024-12-28T23:55:59.373830,0,0,b,"NETLINK"
2024-12-28T23:55:59.375519,1401,1401,SLEEP,"root","NetworkManager","NetworkManager",poll,read,2024-12-28T23:55:59.373808,0,0,5f8d2a0e5d50,"-"
2024-12-28T23:55:59.375519,1404,1373,SLEEP,"root","udisksd","gmain",poll,read,2024-12-28T23:55:59.373785,0,0,603ab4091700,"-"
2024-12-28T23:55:59.375519,1406,1372,SLEEP,"root","thermald","gmain",poll,read,2024-12-28T23:55:59.373763,0,0,58de97e96540,"-"
2024-12-28T23:55:59.375519,1408,1377,SLEEP,"root","zed","reap ZEDLETs",pause,read,2024-12-28T23:55:59.373741,0,0,0,"null"
2024-12-28T23:55:59.375519,1410,1410,SLEEP,"root","wpa_supplicant","wpa_supplicant",pselect6,read,2024-12-28T23:55:59.373718,0,0,13,"-"
2024-12-28T23:55:59.375519,1418,1372,SLEEP,"root","thermald","pool-spawner",futex,read,2024-12-28T23:55:59.373695,0,0,58de97e8def0,"-"
2024-12-28T23:55:59.375519,1419,1373,SLEEP,"root","udisksd","pool-spawner",futex,read,2024-12-28T23:55:59.373673,0,0,603ab408a0d0,"-"
2024-12-28T23:55:59.375519,1427,1373,SLEEP,"root","udisksd","gdbus",poll,read,2024-12-28T23:55:59.373650,0,0,7eafb8000b90,"-"
2024-12-28T23:55:59.375519,1428,1372,SLEEP,"root","thermald","gdbus",poll,read,2024-12-28T23:55:59.373628,0,0,7b112c000b90,"-"
