KSTACK_HASH,KSTACK_SYMS
2facb90b7411a880,'__wait_on_buffer+0x30;__ext4_get_inode_loc+0x4d0;__ext4_get_inode_loc_noinmem+0x3e;__ext4_iget+0x18c;ext4_lookup+0x10c;__lookup_slow+0x85;walk_component+0x117;path_lookupat+0x6a;filename_lookup+0xee;vfs_statx+0x7a;vfs_fstatat+0x8e;__do_sys_newfstatat+0x44;__x64_sys_newfstatat+0x1c;x64_sys_call+0x248c;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
e802a732b3c1d7dc,'blk_mq_get_tag+0x154;__blk_mq_alloc_requests+0xbd;blk_mq_submit_bio+0x253;__submit_bio+0x75;__submit_bio_noacct+0x91;submit_bio_noacct_nocheck+0x1f8;submit_bio_noacct+0x16c;submit_bio+0xb1;iomap_readahead+0x238;xfs_vm_readahead+0x15;read_pages+0x85;page_cache_ra_order+0x2a1;page_cache_async_ra+0x166;filemap_readahead.isra.0+0x76;filemap_get_pages+0x32d;filemap_read+0x11c;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9;xfs_file_read_iter+0xad;vfs_read+0x2ab;ksys_read+0x72;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
d994abb654b7a1ff,'folio_wait_bit_common+0x138;filemap_update_page+0x24c;filemap_get_pages+0x2f4;filemap_read+0x11c;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9;xfs_file_read_iter+0xad;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
af0cf4036277c697,'sched_tick+0x128'
42b6178507b85c29,'filemap_read+0xcc;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9;xfs_file_read_iter+0xad;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
d665895535534bc6,'nvme_submit_cmds.part.0+0x137'
2ecf980a5a23cfd9,'blk_mq_get_tag+0x154;__blk_mq_alloc_requests+0xbd;blk_mq_submit_bio+0x253;__submit_bio+0x75;__submit_bio_noacct+0x91;submit_bio_noacct_nocheck+0x1f8;submit_bio_noacct+0x16c;submit_bio+0xb1;iomap_dio_submit_bio+0x84;iomap_dio_bio_iter+0x3a0;__iomap_dio_rw+0x3a4;iomap_dio_rw+0x11;xfs_file_dio_read+0xcf;xfs_file_read_iter+0x126;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
2d7c92985ccff6b8,'sock_alloc_send_pskb+0x15e;unix_stream_sendmsg+0x158;sock_write_iter+0x18e;do_iter_readv_writev+0x14e;vfs_writev+0x17b;do_writev+0x107;__x64_sys_writev+0x1c;x64_sys_call+0x1b86;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
e6d5bef865c25917,'irqentry_exit_to_user_mode+0x109;irqentry_exit+0x43;sysvec_apic_timer_interrupt+0x57;asm_sysvec_apic_timer_interrupt+0x1b'
81bb3904c875e5d6,'xas_load+0x17'
e9d20f894ad23587,'srso_return_thunk+0x5;bpf_prog_84b553d4a42405aa_xcap_sys_exit+0x39'
d1ec626ed16daf60,'__do_semtimedop+0x382;do_semtimedop+0x17e;__x64_sys_semtimedop+0x92;x64_sys_call+0x2054;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
a80511d57c04644e,'pin_user_pages_fast+0x45;iov_iter_extract_pages+0x10b;__bio_iov_iter_get_pages+0x89;bio_iov_iter_get_pages+0x3d;iomap_dio_bio_iter+0x26c;__iomap_dio_rw+0x3a4;iomap_dio_rw+0x11;xfs_file_dio_read+0xcf;xfs_file_read_iter+0x126;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
64c4c7f91a7456fc,'do_syscall_64+0x140;entry_SYSCALL_64_after_hwframe+0x76'
d1290626d6b70227,'__commit+0x9e;process_one_work+0x17b;worker_thread+0x2de;kthread+0xfe;ret_from_fork+0x47;ret_from_fork_asm+0x1a'
34eb94f4faf1122a,'asm_sysvec_apic_timer_interrupt+0x1b'
9fe12a04fbb05e59,'tcp_cleanup_rbuf+0x56'
34e174f4fadfddca,'entry_SYSCALL_64_after_hwframe+0x76'
2ce5d27699bc8724,'do_exit+0x140;__x64_sys_exit+0x1b;x64_sys_call+0x167d;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
a2036004ff50801b,'ip_local_deliver_finish+0x7c'
b0aa9c0dd2bdac1b,'dm_bufio_write_dirty_buffers+0x1fc;dm_bm_flush+0x21;dm_tm_commit+0x2e;__commit_transaction+0x212;dm_cache_commit+0xc4;commit+0x2f;commit_op+0x38;__commit+0x9e;process_one_work+0x17b;worker_thread+0x2de;kthread+0xfe;ret_from_fork+0x47;ret_from_fork_asm+0x1a'
b2149f54f79dce28,'bpf_prog_84b553d4a42405aa_xcap_sys_exit+0x39'
34ec14f4faf1ebaa,'asm_sysvec_call_function_single+0x1b'
68809d976734a682,'ksys_read+0xd8;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
b291b60368725c3d,'dequeue_task+0x4a'
8126c304c779a154,'timerqueue_add+0x69'
7b5f95030aa82e2a,'run_timer_softirq+0xeb'
e57ff603befd32fd,'vmap_small_pages_range_noflush+0x1da'
9cde6c034392b57f,'ret_from_fork_asm+0x0'
ad352e035f562125,'kernel_clone+0x132'
