USTACK_HASH,USTACK_SYMS
fa4b2cfd2848fb2f,''
b0fffc29d53327f1,'pthread_cond_timedwait+0x23e;os_event::timed_wait(timespec const*)+0x3a;os_event::wait_time_low(std::chrono::duration<long, std::ratio<(long)1, (long)1000000> >, long)+0x81;Clone_persist_gtid::periodic_write()+0x12c'
1ffb2cff1b530b2f,''
84052ad80c3e0f1e,'proc_exit+0x41;PostmasterMain+0xdc9;main+0x227;__libc_start_main+0x8b;_start+0x25'
db7521422f112049,''
346595b928eccced,'build_function_result_tupdesc_d+0x1ed;build_function_result_tupdesc_t+0xeb;get_expr_result_tupdesc+0x2f;get_rte_attribute_is_dropped+0x19d;AcquireRewriteLocks+0x1f6;QueryRewrite+0x5e;pg_rewrite_query+0x46;pg_analyze_and_rewrite_fixedparams+0x43;SPI_execute+0xd5;pgsentinel_main+0x19d;StartBackgroundWorker+0x22d;PostmasterMain+0xdc9;main+0x227;__libc_start_main+0x8b'
ea028ce0299d934f,''
1bf398ce8cc9752,'pthread_cond_timedwait+0x115'
932b793e7f447005,'_PyObject_MakeTpCall+0x9b'
54b98c8155225574,'_PyEval_EvalFrameDefault+0xae23;_PyEval_EvalFrameDefault+0x4323;_PyEval_EvalFrameDefault+0x17c4;_PyEval_EvalFrameDefault+0x4cb0;_PyEval_EvalFrameDefault+0x4cb0'
993de3b80354d7ac,''
429c64e93f2afd57,''
a375e42d136e71a0,'__libc_fcntl64+0x45'
7c566cfa9f4218ef,''
781c59f8643b4d57,'pthread_cond_timedwait+0x23e;PlatformEvent::park_nanos(long)+0x107;JavaThread::sleep_nanos(long)+0xa4;JVM_Sleep+0x1c5'
7ad105baa6683678,'GetListOfFilesInDir(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, bool const&)+0x2a0;GetListOfFilesInDir(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool const&, bool const&)+0xca;ReadConfigDir(Configuration&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool const&, unsigned int const&)+0x9c;pkgInitConfig(Configuration&)+0xd11;ParseCommandLine(CommandLine&, APT_CMD, Configuration* const*, pkgSystem**, int, char const**, bool (*)(CommandLine&), std::vector<aptDispatchWithHelp, std::allocator<aptDispatchWithHelp> > (*)())+0xea;__libc_start_main+0x8b'
a3205e8f66ccf6cd,''
92fbccd78344c1b8,'pkgDepCache::DependencyState(pkgCache::DepIterator const&)+0x54;pkgDepCache::Update(OpProgress*)+0x16;pkgDepCache::Init(OpProgress*)+0x3e0;pkgCacheFile::BuildDepCache(OpProgress*)+0x95;pkgCacheFile::Open(OpProgress*, bool)+0x42;_PyObject_MakeTpCall+0x75;_PyEval_EvalFrameDefault+0xadf;PyEval_EvalCode+0x15b;_PyRun_SimpleFileObject+0x1aa;_PyRun_AnyFileObject+0x4f;Py_RunMain+0x3b5;Py_BytesMain+0x2d;__libc_start_main+0x8b;_start+0x25'
1c25f7a688cfa3db,''
9f9f3ded02bb66a4,'pkgCacheFile::BuildCaches(OpProgress*, bool)+0x20c;DoUpdate()+0x29f;CommandLine::DispatchArg(CommandLine::Dispatch const*, bool)+0x4f;DispatchCommandLine(CommandLine&, std::vector<CommandLine::Dispatch, std::allocator<CommandLine::Dispatch> > const&)+0x36;__libc_start_main+0x8b'
1f497e6244b98f27,''
1db55ffb3ea553fc,'pkgDepCache::DependencyState(pkgCache::DepIterator const&)+0xc0;pkgDepCache::Update(OpProgress*)+0x16;pkgDepCache::Init(OpProgress*)+0x3e0;pkgCacheFile::BuildDepCache(OpProgress*)+0x95;pkgCacheFile::Open(OpProgress*, bool)+0x42;CommandLine::DispatchArg(CommandLine::Dispatch const*, bool)+0x4f;DispatchCommandLine(CommandLine&, std::vector<CommandLine::Dispatch, std::allocator<CommandLine::Dispatch> > const&)+0x36;__libc_start_main+0x8b'
1edbc4fa006aad77,''
