USTACK_HASH,USTACK_SYMS
9e1d99de76291952,'pthread_cond_timedwait+0x23e;os_event::timed_wait(timespec const*)+0x3a;os_event::wait_time_low(std::chrono::duration<long, std::ratio<(long)1, (long)1000000> >, long)+0x81;log_flusher(log_t*)+0x34d'
7bf76d0683a0abef,''
afa1f26b6c9755c1,''
95a6e0aaa6c0c92b,''
1938d229ef1d8b91,''
d17b7d4ff49197d1,''
bc26e62b8affa932,'PyObject_VectorcallMethod+0x7f;__pyx_f_8oracledb_9thin_impl_9Transport_read_packet+0x152'
1e6ebceccde1eee1,''
3e76e98df6a01dda,'pthread_cond_timedwait+0x115'
4744ec7c0f5cb10a,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
f9dab4feda89df47,''
870c04e9b374aa37,''
26ebec62ab0e6c8c,''
1f38a262449ce953,''
5ce9b50135dc5c47,''
9835813d67956a19,''
a1a98cfadeae584f,''
af63be4c8601b992,''
765cee921f61e89b,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
18fc85fe59476a81,''
be06bcf5f5e0b0df,''
765afb371f60ae40,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
6982e0830ae27ce9,''
93206d5649d2ead8,'_PyEval_EvalFrameDefault+0x212e;_PyEval_EvalFrameDefault+0x4cb0'
1e5b6e62432509f7,''
5a57ace0e87e38af,''
672dfd8a41eb14cc,'pthread_cond_timedwait+0x23e;PlatformEvent::park_nanos(long)+0x139'
877a22ace9e59bda,''
30266a8cf0670cd1,''
d21eb5251177dd61,''
191b5d70c47bf92f,''
e3f0d4f99c4d77a7,''
765a38df1f6033e8,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
765b67161f60fab7,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
ddac303af6f204e0,'__libc_fcntl64+0x45;Java_sun_nio_ch_IOUtil_configureBlocking+0x6f'
9c2c7ef91f2b3f8a,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
1950f316e8445611,''
2d6fa7944d9a7317,'nanosleep+0x17;usleep+0x4c;nvmlDeviceGetPcieThroughput+0x118'
f84b84f80be390b7,''
b353b506e1b27a47,''
c40df408b0bf945a,''
765b84e01f6104e9,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
e83810a7f304c999,''
11f6bd041c8180df,''
dec22a1ec7110299,'build_function_result_tupdesc_d+0x139;build_function_result_tupdesc_t+0xeb;get_expr_result_tupdesc+0x2f;get_rte_attribute_is_dropped+0x19d;AcquireRewriteLocks+0x1f6;QueryRewrite+0x5e;pg_rewrite_query+0x46;pg_analyze_and_rewrite_fixedparams+0x43;SPI_execute+0xd5;pgsentinel_main+0x19d;StartBackgroundWorker+0x22d;PostmasterMain+0xdc9;main+0x227;__libc_start_main+0x8b'
765b94f91f61179a,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
31da06384b5d33c1,''
1f7bec7f012d0a81,'__libc_fcntl64+0x45;Java_sun_nio_ch_IOUtil_configureBlocking+0x6f'
1102504e3bca3000,'__libc_fcntl64+0x45;Java_sun_nio_ch_IOUtil_configureBlocking+0x6f'
6788ef6b7ba155e9,''
f437250e1bf4f197,''
9bd424e157c4b897,''
25d00d8a0a61be98,'pthread_cond_timedwait+0x23e;PlatformEvent::park_nanos(long)+0x139'
19d464623b7393f9,''
bd8e2a27b4098711,'WatcherThread::sleep() const+0x7f;WatcherThread::run()+0x29;Thread::call_run()+0xa7;thread_native_entry(Thread*)+0xd5'
9803c6b11f2b3f8a,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
8925a50a00063517,''
f75044e04038a2f7,''
765b171b1f650fbc,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
a837ec61728f76ae,'td_io_queue+0x132;fio_backend+0x134;main+0xae;__libc_start_main+0x8b;_start+0x25'
947beddf4b49b63f,''
991ef0bd72e5d5d5,''
b47ca22897c8f1de,'malloc+0x1a2;__libc_start_main+0x8b'
14d56d13e877f620,''
4b4486db80dd9d56,''
26a5cf91c0515fcc,'__libc_start_main+0x8b'
b66f0aee41eacc05,'__libc_start_main+0x8b'
959914266cc46fcc,'__libc_start_main+0x8b'
e345c219ed93a59d,'__libc_start_main+0x8b'
8e6d84d1f7028ed1,''
81524596af2a3d83,'__libc_start_main+0x8b'
cfeffad7cecab22a,'__libc_start_main+0x8b'
10490c2b0b323e65,''
837578d783485df3,''
f42c5a12d9f39cee,'wgetch+0x3d'
ec5734fe9754535,'os_event::wait_time_low(std::chrono::duration<long, std::ratio<(long)1, (long)1000000> >, long)+0x99;Clone_persist_gtid::periodic_write()+0x84'
6579338d12787620,''
ea32632c4128fe3b,''
7f63cbe2da71d15c,''
cc496bf5bfc26109,''
9813f233c6a07c07,''
b4475134e0a1843f,''
1dcba3e61db3c738,''
6043480f631e56ea,''
e95c7e4eda22c057,'cuMemcpyHtoDAsync_v2+0x20;libcudart.so.12+0x17058;cudaMemcpyAsync+0x24c'
3839aba90fb4038d,''
cb635677beb589f3,'__libc_start_main+0x8b'
3bb36e0b6599fcf6,'clock_gettime+0x1d;cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
9c17687d533fe5f5,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
776c87a24abbd6cb,'__libc_fcntl64+0x45'
5dd603cada7ad87,''
af63c44c8601c3c4,''
f4019de93fe2f726,''
b15b53d99b5db888,''
fe3666d79a82b857,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
d77550ad94a4cbbf,'pthread_cond_timedwait+0x23e;PlatformMonitor::wait(unsigned long)+0x60;Monitor::wait(unsigned long)+0x70;CompileQueue::get(CompilerThread*)+0x92;CompileBroker::compiler_thread_loop()+0x2e0;JavaThread::thread_main_inner()+0x1e6;Thread::call_run()+0xa7;thread_native_entry(Thread*)+0xd5'
4315686be2f67241,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
1c0005c8f1d9f93c,''
b17f93408e6ef8e6,'clock_gettime+0x1d;cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
db46016857dcfe5b,''
1f4c7a6244bea15b,''
e8de41ba5f465e05,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
9ea8bb358310a81c,'__libc_start_main+0x8b'
354070f4431826c2,'cuCtxDestroy+0x20'
97b6771326020a5f,'cuCtxDestroy+0x20'
44ea90a2f49056ea,''
2e40ccce1ece1738,''
ebba9832fc0fecd,''
21604334a628cdce,''
239b8b68e015e452,''
a721c1b360933109,''
bda95576c857e709,''
460be5d52da2c0e7,''
2ea9b3792c094f83,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
16cda9833d7794cd,''
40032dc5ce46e0bf,''
9d7318a2bb7f3956,'__libc_start_main+0x8b'
eace9832fa7ee8d,''
ac3c84eba5a613b7,''
74e43ec384f992a8,''
ce79bef5595c2e19,''
799550f5a635ab79,'__libc_start_main+0x8b'
dc0d21a1dddd8f77,''
765b2d441f604d65,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
bf04cfb19b3d892b,'__libc_start_main+0x8b'
1e66f737a2b5a35d,''
a03da273b27975db,''
94d62e3154f12a36,''
1228208b34045ecb,''
a790b37461175a71,''
358696c9f3e13ad6,''
3619be2474a81958,''
671dc536ada0e97d,''
f12ca812a1518b62,''
e877dc9cf00ce4e0,''
d330b67070fbb86f,''
99b6759cebabea0c,''
cf4eb79cc54bfb01,''
321423e7fd0a10ee,''
7157b8f8adfe18ba,''
3c89111c96ebb4fe,'__libc_start_main+0x8b'
8d39aec03a3fe5f5,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
5e876e19e8b4b77b,''
2c9457b4360a1a4,''
b24ddf3f5e2c36b4,''
aba3f93e7eb0dbda,''
54624655693d3ad0,''
a13260ab490b0956,''
df299c10798e3866,''
dae1ede06bca6b90,''
cd2ca500b4486066,''
b8c4c88acbc1f6a5,''
44c0d2001bc0841a,''
3933f12b165006da,''
d0f26a54bbf5783,''
4b1d5ed51d1adbb3,''
9adf5f5b14c75fe6,''
af68fd4c860aa39f,''
ab3a19859207c9cf,''
220bab057fedc64f,''
267f7305877e8327,''
2ab2fb058ea2133f,''
6ea6c30602195017,''
72dc8b060940b2ef,''
7fb823061f19d637,''
8bd9b30633b6dde7,''
54810305d5ab2ad7,''
58b4cb05dccf27af,''
5cea9305e3f68a87,''
60de9b05eaae341f,''
f89592de957a291f,''
3ef891343bbfc464,''
dba4b5b233b9566,''
4f26066ca9df6b55,''
89c59fad84546100,''
2f19de9d1cef18f7,''
6bc958339c41c8aa,''
c7f9a7f2d3505a2e,''
efd7955d7b778479,''
a4a96462b4e5b8e8,''
b851f346d7871c67,''
a99cc1097aa84421,''
7f807d7c1a082769,''
3cf053aedf05859c,''
219ded04371a976f,''
b3415217a7ac9434,''
ab11c18591c33c47,''
63876e4a75b54be8,'ggml_threadpool_free+0x8a'
6ed02bfc6b2f1cb6,'Py_FinalizeEx+0xad;Py_RunMain+0x281;Py_BytesMain+0x2d;__libc_start_main+0x8b;_start+0x25'
1f46766244b4688f,''
765b1e2a1f6482b3,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
4ede1c0e2f480bd6,'pthread_cond_timedwait+0x115;PlatformEvent::park_nanos(long)+0x139;JavaThread::sleep_nanos(long)+0xa4;JVM_Sleep+0x1c5'
4954de38593473a6,''
d17df8b4f955275d,''
b4f2db42f182b857,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
f97346d67961e229,'__libc_fcntl64+0x45;Java_sun_nio_ch_IOUtil_configureBlocking+0x6f;Java_sun_nio_ch_SocketDispatcher_read0+0x3b'
aa305d007fad0f26,''
922d024f09326a70,''
1d8d5e88cafdd108,''
c7229ceb46c75ec4,''
a294f05f8364fc16,''
60f5ecf8bdbd1f6f,''
e6a24dc8603119ef,''
37e227db0e8e1171,'build_function_result_tupdesc_d+0x281;build_function_result_tupdesc_t+0xeb;get_expr_result_tupdesc+0x2f;get_rte_attribute_is_dropped+0x19d;AcquireRewriteLocks+0x1f6;QueryRewrite+0x5e;pg_rewrite_query+0x46;pg_analyze_and_rewrite_fixedparams+0x43;SPI_execute+0xd5;pgsentinel_main+0x19d;StartBackgroundWorker+0x22d;PostmasterMain+0xdc9;main+0x227;__libc_start_main+0x8b'
b72c158535449e3c,''
7f5653f2343e339f,''
f1313c08a99c3812,''
b2cc3c17a6e59fd2,''
f4fefd03eb48859f,''
d22f16f78339bab6,'pthread_cond_timedwait+0x23e;PlatformMonitor::wait(unsigned long)+0x60;Monitor::wait_without_safepoint_check(unsigned long)+0x3d;WatcherThread::sleep() const+0x7f;WatcherThread::run()+0x29;Thread::call_run()+0xa7;thread_native_entry(Thread*)+0xd5'
bd6cd060893a05c6,''
a48effc436c16d36,''
9bdcde2d8b717168,''
69d1bb0063107a61,''
edb19cad838994b,''
9a96365f17253d9,''
8d8188d462068b55,''
4464bfd154f12a36,''
476c782abf89dcbc,''
6281541dd4eb5833,''
ab460585921c0bd3,''
2c5861d0c06e308f,''
708c29d134522d67,''
74ffb1d13be27d7f,''
792d79d142fc4857,''
7d2141d149b3852f,''
815509d150d78207,''
858911d157fbeb9f,''
66b9d0a458496d2b,'nvmlDeviceGetMaxClockInfo+0x150'
765b2d5d1f6044e6,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
357ebd42b6b83218,'__libc_fcntl64+0x45'
78a26f7a2c189e50,'pthread_create+0x5e5'
8696a37f8f5bfdd7,''
7b65064cbe84028b,''
8e490d3cd3bd2557,''
b6973036c0bbbbea,''
a4787fa9069b31b6,''
d31507eabcc3126,''
dc85c5b2c5d26e02,''
40f8be2eb0faf839,''
c6bd7f4333ce909e,''
8e0f0043c35769e0,''
697e98ed4f895ceb,''
c6df64192b56f574,''
f4ee99aeb17d71c4,''
e679689ec3e9be37,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
393bcb92e6cdaf06,''
12dd8e6f377a51e4,''
1a025a8b1e1b00ac,''
e3b0e18cff1f1736,''
73d1d2b0be28c6f,''
3c5a839bc54076e4,''
47d4d9313522b077,''
ed28c34472652090,''
3bc79d5376a67cbb,''
bf80367154f12a36,''
765b2bcd1f60ccd6,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
6404709b76c2e3d2,''
d3df2b0a4718cbef,''
dc6c554987c63812,'pthread_cond_timedwait+0x115;PlatformEvent::park_nanos(long)+0x139;JavaThread::sleep_nanos(long)+0x63'
5e7c0da1c1cd0af,''
a1588da23369b87,''
b3133b17a75e431f,''
82490b04c575de6f,''
c57e876aabbc262,''
97b21a3393d7969f,''
786e216f75f82515,''
4ae93c2b62a6eba4,''
de0f7aa9b90816d,''
44060665f875035c,''
404d3cbff5c1569a,''
2fd7a97d5648445c,''
3250aeb823dda6da,''
f6fee88082afb1e8,''
cb6a52c664089fcb,''
eeb07575dc12584d,''
4b55753ddb0b718e,''
e7d80a4639b414ea,''
307665d6de20cf62,''
3973351091fccffd,''
f85c9afcbb426cb8,'__libc_start_main+0x8b'
6865bbb8588093bd,''
1f4d266244bfc59f,''
f8250ce041a232cf,''
433c6ee35e1fe1f7,''
aa34030c7222f399,''
b3406717a7ab04e3,''
3abaa93c92df234f,''
3eee713c9a032027,''
42e1f93ca0b9f03f,''
4715c13ca7dded17,''
4b4b893caf054fef,''
fbf513c49d60cc7,''
1be7213c5e7db337,''
201ae93c65a1b00f,''
2450b13c6cc912e7,''
d11466225c407ff,''
afd1d8e8cda023a7,''
1b758d0d06e34d00,''
40e32e0a79561d97,''
4516f60a807a1a6f,''
494abe0a879e1747,''
4dbec60a8f2f40df,''
df48e0a22caa3b7,''
161c1e0a30a5dd67,''
1ebd6e0a3f4ff857,''
22f1360a4673f52f,''
26e4fe0a4d2b3207,''
2b19060a544f9b9f,''
c44db465ded0077,''
bc03687a683ee0b1,''
d6dcb8ed36b1d093,'fio_backend+0x134;main+0xae;__libc_start_main+0x8b;_start+0x25'
36cdf92ab8e6582d,''
f194f9be98d2ec25,''
2c6b17af43484ce8,''
502143857184152f,''
23d6e902a5fa240f,''
2c803902b4b1d6ff,''
70b401032895d3d7,''
74a7c9032f4d10af,''
78d591033666db87,''
7d0999033d8b451f,''
97fd04ffe73e2d37,''
9db78d0d88fa224f,''
b3126517a75cd77d,''
be82335c8194fcc8,''
dcd60ed02d53c29f,''
9e70ed079e7a59f,''
9ab8ed079828b1f,''
ce648ed014c8e61f,''
72c0ed07543e49f,''
b28ed06a43701f,''
af63c54c8601c577,''
5fd01bc287d7d9a0,''
df6ba6fb788751b6,''
a4cd889c7d127824,''
d6e44d1154f12a36,''
fb24873630bfde4,''
a4ee97965f56073f,''
a8e25f96660d4417,''
ad1827966d34a6ef,''
f14bef96e118a3c7,''
f5bff796e8a9cd5f,''
f5f3bf96e901ca37,''
f9e78796efb9070f,''
fe154f96f6d2d1e7,''
248d796fdf661ff,''
6bc9f9705871ed7,''
af067970cab1baf,''
cee62f96a6a5be87,''
d31a3796adca281f,''
11bcccff031f0e0f,''
6ad57396fbdec3a2,''
d3595d27c2ee63e,''
1c55de661af68fa4,''
967e115aeada1d76,''
967ff15aeadd4d16,''
9679d15aead2e4b6,''
101d564171c09386,''
369f6313ae8756e2,''
a4b42c759454cea,''
c9fd46ccb5d3208e,''
63aade1aea649146,''
9a56cf2a60f5a3ad,''
be2f2028a3d952ae,''
9676715aeacd2896,''
73d63ce91f2b3f8a,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
36302ac7f46cdb9a,''
c57e4a6bce250ecc,'pthread_cond_timedwait+0x23e;os_event::timed_wait(timespec const*)+0x3a;os_event::wait_time_low(std::chrono::duration<long, std::ratio<(long)1, (long)1000000> >, long)+0x81;log_flush_notifier(log_t*)+0x493'
85cd82756a339c0e,''
a62758e9f467eb4a,''
fd38633f09500bf8,''
6e7b317273ddb48d,''
ed0abf6a38e8102e,''
b04b358624ad7e4,''
994d24b2d9093418,''
c661b2b83e68ab0a,''
9d516e28634759da,''
965aa0fcc69e6e16,''
b3480f17a7b8075b,''
6a97b537cb26288a,''
ab1dad8591d77e4b,''
ef38c0b0e47320fb,''
e081e37f25cccd1c,''
f6647f7154f12a36,''
29bb5799a70e7e79,''
a8895f6be183de56,''
54d6ffa36f3deff7,''
14acc5f51a426606,''
a5d25eeaf393f63,''
286f2e9154f12a36,''
a25c5e5644b65b00,''
5e03a53ebee0ad02,''
a23ed21b657bad56,''
4e90802db0359f0d,''
2c7ce581b21969f2,''
a800b42c4ef9ae2,''
fd42f4537952bf96,''
28b875f154f12a36,''
9300c66a398c3abe,''
902ec72c4eb30249,''
a1236eaf81ea5fa0,''
a57560269c3a69f7,''
8327167f1c2011ce,''
b2d7415dbd94868e,''
19d0fa19e27bd28d,''
fa26325adbfdab1d,''
f6713df154f12a36,''
93e8929040f75d73,''
ffec934c2c765020,''
ed08de89db90a3c7,''
f1cf33464bafad34,''
a276705f83312896,''
77cf25af37cf4284,''
a1de305f822e73d6,''
d33088c47395fffb,''
bda648dcfd6ebb09,''
cea5afe97d6267a6,''
deb1f118ffc75807,'pthread_cond_timedwait+0x23e;os_event::timed_wait(timespec const*)+0x3a;os_event::wait_time_low(std::chrono::duration<long, std::ratio<(long)1, (long)1000000> >, long)+0x81;log_writer(log_t*)+0x3d6'
2575977193a6ebed,'nanosleep+0x17;fio_backend+0x134;main+0xae;__libc_start_main+0x8b;_start+0x25'
c8a261413661a606,''
1c18cff0113e4484,''
e4820c6241c981b1,''
966480fcc6af35b6,''
bb2faade31d87727,''
a6c8aa8284261d23,''
4ed1e00e2f3341e2,'pthread_cond_timedwait+0x115;PlatformEvent::park_nanos(long)+0x139;JavaThread::sleep_nanos(long)+0xa4;JVM_Sleep+0x1c5'
77523af593b12916,''
b8d9229b112d8e0a,'ggml_row_size+0x1b'
2e2568fca4eae60e,''
914e80e18e0ad3b6,''
3aff1a7120aec8a8,''
17b6cc3b925fa8df,''
af63bf338601c3c4,''
5780bdf705622001,'WaitLatch+0x7c;pgws_collector_main+0x43e;StartBackgroundWorker+0x22d;PostmasterMain+0xdc9;main+0x227;__libc_start_main+0x8b;_start+0x25'
74443ef0aa7d8bfa,''
c1dc03701a8b53b3,''
15d90a99342f16c6,'nvmlDeviceGetFanSpeed+0x142'
dc7ec70cd2a8d3cf,''
4b87a0ab40f838cb,''
f8dda812c5f49c4f,''
fd117012cd189927,''
5ee8812dc2848ef,''
9e25012e2df85c7,''
ce1658127d43ef5f,''
d24a20128467ec37,''
d6bde8128bf8a90f,''
daf3b01293200be7,''
e74ec812a81ed5af,''
ebc49012afb2f887,''
33f898132a63621f,''
8035b1f6c5f9bcbd,''
656d2167f3244e0b,''
9b344f6b5d63f894,''
f9a78f5ba54a35fa,'pthread_cond_timedwait+0x23e;PlatformEvent::park_nanos(long)+0x139;JavaThread::sleep_nanos(long)+0xa4;JVM_Sleep+0x18a'
1ef436624428a5cf,''
bfaf89e1ce90e4b4,''
fb3a290260f7c9cf,''
efa18e8c8601b7df,''
36379026ed5fcbf,''
797410275f9f997,''
cfcb09021729f66f,''
d43ed1021ebab347,''
d872d90225df1cdf,''
dc68a1022c99bfb7,''
e09c690233bdbc8f,''
e943b9024272097f,''
ed718102498bd457,''
31654902bd03112f,''
44c4f664b0ba952,''
b4372037dd5c1b96,''
5af846a7bc4c8fe1,''
b229499154f12a36,''
e09587a46e89bc81,''
cc155bb4ad47064c,''
f6b8117754ee893f,''
5a199a9535ea9fca,''
d2801b3f2859e998,''
39155854549c15a4,''
b48de037ddef83d6,''
b268955154f12a36,''
631d2997f65e2f3c,''
b4956037ddfc4256,''
9e705bc8b3fffe49,''
f6a7ee7e98bf2879,''
65a8829a5ec68ef2,''
154bee1648894795,''
b7beb50c02344b47,''
9a56ce2735174be1,''
1b3db3e07f7b3b6,''
e5e943b082e9a7eb,''
9d10d6aee714cd9d,''
af4ab4489ee06bd8,'__libc_fcntl64+0x45'
697915081733fc67,''
a30180ac56a9bb78,''
26c784e17d96ad03,''
a3f2867994a9301f,''
a0f786798f98af1f,''
72b9be8fbb803b29,''
259105a1e6e10e84,''
5697ccc8a1293166,''
d99a9e516c4165d8,''
b0105f72ba4e4356,''
c5cf67307bffe0b2,''
21f2e5c4e8b2ae8e,''
aff9ff72ba283e36,''
b4bff64fcf345e44,''
123da2f154f12a36,''
592a9ef2ca9165ce,''
cfa263476a5ed01d,''
65a6cdf88c5964c,''
9542f1ba10c2a616,''
95cb8f24aa9ceb1f,''
954e0f24a9c7aa9f,''
cc550f2507488f9f,''
c4de8f24fa9a341f,''
bf640f24f14b0c9f,''
92d08f24a58c6a1f,''
382d1b655177d7c,''
5704fbc4ed06bba6,''
8a9162e78fb6d146,''
f010348cb8cc9735,''
c05c84420091f1a6,''
6f3f17fb351b0fbc,''
ad8887d6ecdfd93c,''
a1620045555bf636,''
c46924fc49d2a6cf,''
c85cecfc5089e3a7,''
cc9274fc57b0d9bf,''
953a04fbf9a5936f,''
996dccfc00c99047,''
a1979cfc0ea89cb7,''
a1cb64fc0f00998f,''
a63f2cfc16915667,''
aa72b4fc1db4e67f,''
ee687cfc912f8957,''
f29c44fc9853862f,''
f6d00cfc9f778307,''
fb4414fca708ac9f,''
f86eace0421f4daf,''
d6657b415450f4,''
b4d4987e1dcecd00,''
67c0e74df753eb3d,''
c8b2a81fe9d92adf,''
67e1074df764f888,''
b304a117a7457371,''
c1b3a0e4038398db,''
54cda74dd2781c58,''
f6457b416ab7d1,''
c988468483ca75e,''
8f2c031f5165e854,''
4bdf1f3ddbf55d6c,''
49a5930c2e648f7,''
894237b2c600c286,''
ae031b97b83ad5d9,''
9f711d9b175e0427,''
5abbc357f4f9bbd2,''
4ddd8807f01c386d,''
2b47e943218147f,''
3445bf0961627819,''
dda023368eddab1e,''
a26c104b1f1f8776,''
6fa95854a7918492,''
a277d04b1f337eb6,''
293df40dd9dac92c,''
2286693fca0aa7b2,''
c843cc652bc5042,''
200315166e17d95f,''
41e0b46f3457f640,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
33c4e4e925f2ced7,''
c575b88d772585c1,'pthread_cond_timedwait+0x23e;PlatformEvent::park_nanos(long)+0x107;JavaThread::sleep_nanos(long)+0xa4;JVM_Sleep+0x1c5'
7d29eff4f3b8f1c5,'_PyEval_EvalFrameDefault+0x3b08;_PyEval_EvalFrameDefault+0x4cb0'
f6ee6ce03f9260ef,''
3994c95e3d015921,''
420392b4e9063868,'cuCtxCreate_v3+0x20'
a892371b76a30b84,'cuCtxCreate_v3+0x20'
70f3e68dcaff587d,'cuCtxCreate_v3+0x20'
8239b4bf5e9d4f96,'cuCtxCreate_v3+0x20'
a0fbbbe6511ed279,'cuCtxCreate_v3+0x20'
845de2d081c73eba,'cuDevicePrimaryCtxRetain+0x20;libcudart.so.12+0x151ed;cudaMalloc+0x1e3'
caa35c217aa69738,''
21e1d8c2c76381b1,''
48f3e4c955094f83,'cuStreamSynchronize+0x20;libcudart.so.12+0x12683;cudaStreamSynchronize+0x1d8'
765b09b51f64febe,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
e68c44e561e0a396,''
bc51a0e18b7a2fbb,''
