KSTACK_HASH,KSTACK_SYMS
1b4281041a56c52e,'__blk_flush_plug+0xdf'
dce0af03b0568d58,'filemap_get_read_batch+0x17d'
dcedfc03b06d272f,'filemap_read+0x4c0'
3386023aca8e823d,'__alloc_frozen_pages_noprof+0x1e8;alloc_pages_mpol+0x7e;alloc_frozen_pages_noprof+0x5c;folio_alloc_noprof+0x14;filemap_alloc_folio_noprof+0x104;page_cache_ra_order+0x1db;page_cache_async_ra+0x166;filemap_readahead.isra.0+0x76;filemap_get_pages+0x32d;filemap_read+0x11c;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9;xfs_file_read_iter+0xad;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
ee180803cd979993,'__mod_memcg_lruvec_state+0xf4'
b21afa54f7a89ac9,'bpf_prog_50d93c15690a4f23_xcap_iorq_issue+0xea'
d57d3103a3c87e3e,'alloc_htab_elem+0x1ff'
bcc5e010ee467ff7,'srso_return_thunk+0x5;filemap_get_read_batch+0x17d'
efa22003d035405b,'current_time+0x3c'
dde02103b2089c0e,'read_pages+0x17f'
efbe5103d065279e,'touch_atime+0x1f'
38fcc58d2f679b63,'__tcp_transmit_skb+0xa86;tcp_write_xmit+0x5bb;__tcp_push_pending_frames+0x37;tcp_rcv_established+0x464;tcp_v4_do_rcv+0x17d;tcp_v4_rcv+0xe8f;ip_protocol_deliver_rcu+0x3c;ip_local_deliver_finish+0x77;ip_local_deliver+0x6e;ip_sublist_rcv_finish+0x6f;ip_sublist_rcv+0x177;ip_list_rcv+0x103;__netif_receive_skb_list_core+0x22d;netif_receive_skb_list_internal+0x1dc;napi_complete_done+0x70;aq_vec_poll+0x193;__napi_poll+0x33;net_rx_action+0x20c;handle_softirqs+0xe7;__irq_exit_rcu+0x10e;irq_exit_rcu+0xe;common_interrupt+0x59;asm_common_interrupt+0x27'
472965245c8e0f6d,'folio_wait_bit_common+0x138;filemap_update_page+0x24c;filemap_get_pages+0x2f4;filemap_read+0x11c;generic_file_read_iter+0xbb;xfs_file_buffered_read+0xa9'
45867c921a02ceb1,'read_events+0x203;do_io_getevents+0x76;__x64_sys_io_pgetevents+0xd6;x64_sys_call+0x1814;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
